"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Fibroblast Artery Mouse","2/21",3.14792114604077e-06,0.000144456841631419,0,0,2102.94736842105,26641.7529084748,"COMP;FN1"
"Fibroblast Heart Mouse","2/28",5.66497418162427e-06,0.000144456841631419,0,0,1536.23076923077,18559.5237986133,"COMP;FN1"
"Modulated Smooth Muscle Cell Artery Mouse","1/5",0.000749831471870374,0.00404829567703922,0,0,2499.125,17982.8589978205,"FN1"
"Chondrogenic Cell Adipose Tissue Mouse","1/5",0.000749831471870374,0.00404829567703922,0,0,2499.125,17982.8589978205,"COMP"
"Monocyte Liver Mouse","1/5",0.000749831471870374,0.00404829567703922,0,0,2499.125,17982.8589978205,"FN1"
"Fibroblast Breast Mouse","1/5",0.000749831471870374,0.00404829567703922,0,0,2499.125,17982.8589978205,"FN1"
"Matrifibrocyte Heart Mouse","1/6",0.000899753878876759,0.00404829567703922,0,0,1999.2,14021.1678884677,"COMP"
"M2 Macrophage Lung Mouse","1/6",0.000899753878876759,0.00404829567703922,0,0,1999.2,14021.1678884677,"FN1"
"Fibroblast Heart Muscle Mouse","1/6",0.000899753878876759,0.00404829567703922,0,0,1999.2,14021.1678884677,"COMP"
"Myofibroblast Bone Mouse","1/6",0.000899753878876759,0.00404829567703922,0,0,1999.2,14021.1678884677,"FN1"
"Myofibroblast Heart Mouse","1/6",0.000899753878876759,0.00404829567703922,0,0,1999.2,14021.1678884677,"FN1"
"Fibroblast Blood Vessel Mouse","1/7",0.0010496614322995,0.00404829567703922,0,0,1665.91666666667,11427.0015546883,"FN1"
"Interstitial Macrophage Lung Mouse","1/7",0.0010496614322995,0.00404829567703922,0,0,1665.91666666667,11427.0015546883,"FN1"
"Mesangial Cell Kidney Human","1/9",0.00134943189234641,0.00404829567703922,0,0,1249.3125,8255.5464452602,"FN1"
"Mesenchymal Cell Pancreas Human","1/9",0.00134943189234641,0.00404829567703922,0,0,1249.3125,8255.5464452602,"FN1"
"Fibroblast Pancreas Human","1/9",0.00134943189234641,0.00404829567703922,0,0,1249.3125,8255.5464452602,"FN1"
"Myofibroblast Undefined Human","1/9",0.00134943189234641,0.00404829567703922,0,0,1249.3125,8255.5464452602,"FN1"
"Epithelial Cell Thyroid Human","1/12",0.00179897576875959,0.00473278512986048,0,0,908.454545454545,5741.92128812022,"FN1"
"Mesenchymal Cell Kidney Human","1/13",0.00194879387700138,0.00473278512986048,0,0,832.708333333333,5196.5535115997,"FN1"
"Fibroblast Esophagus Human","1/13",0.00194879387700138,0.00473278512986048,0,0,832.708333333333,5196.5535115997,"FN1"
"Fibroblast Heart Human","1/13",0.00194879387700138,0.00473278512986048,0,0,832.708333333333,5196.5535115997,"FN1"
"Fibroblast Kidney Human","1/16",0.00239815857855179,0.00541432346832509,0,0,666.066666666667,4018.41623091548,"FN1"
"Mesenchymal Cell Ovary Human","1/17",0.00254791692627063,0.00541432346832509,0,0,624.40625,3729.25330632509,"FN1"
"Endothelial Cell Kidney Human","1/17",0.00254791692627063,0.00541432346832509,0,0,624.40625,3729.25330632509,"FN1"
"Fibroblast Muscle Mouse","1/19",0.00284738877757407,0.0058086731062511,0,0,554.972222222222,3252.88805695113,"FN1"
"Mesenchymal Cell Lung Human","1/20",0.00299710227697048,0.00587893138944209,0,0,525.736842105263,3054.58854972563,"FN1"
"Mesenchymal Cell Breast Human","1/27",0.00404467804622706,0.00763994742065112,0,0,384.057692307692,2116.29358166937,"FN1"
"M2 Macrophage Lung Human","1/33",0.0049420167963793,0.0088682159964799,0,0,311.953125,1656.46540769326,"FN1"
"Prehypertrophic Chondrocyte Articular Cartilage Human","1/34",0.00509152090098156,0.0088682159964799,0,0,302.484848484848,1597.17405140703,"CRLF1"
"Fibroblast Skin Human","1/36",0.00539048423315445,0.0088682159964799,0,0,285.171428571429,1489.48460880267,"FN1"
"Fibroblast Stomach Human","1/36",0.00539048423315445,0.0088682159964799,0,0,285.171428571429,1489.48460880267,"FN1"
"Monocyte Lung Human","1/39",0.00583881704612273,0.0093056146672581,0,0,262.618421052632,1350.70617046735,"FN1"
"Macrophage Stomach Human","1/41",0.00613763080051258,0.00948542941897398,0,0,249.4625,1270.59146099404,"FN1"
"Mesenchymal Stem Cell Undefined Human","1/60",0.00897337803301339,0.0134600670495201,0,0,168.966101694915,796.42055134622,"FN1"
"Macrophage Lung Human","1/72",0.0107615957524882,0.015681182382197,0,0,140.323943661972,635.916038987997,"FN1"
"Fibroblast Kidney Mouse","1/75",0.0112083139716832,0.0158784447932178,0,0,134.614864864865,604.568746520693,"FN1"
"Endothelial Cell Brain Mouse","1/93",0.013885800458941,0.0190350794133249,0,0,108.179347826087,462.671009812356,"FN1"
"Primitive Endoderm Cell Embryo Human","1/95",0.0141830003471833,0.0190350794133249,0,0,105.867021276596,450.53946711898,"FN1"
"Basal Cell Trachea Mouse","1/98",0.0146286882376348,0.019129823079984,0,0,102.577319587629,433.365657403815,"CRLF1"
"Matrix Fibroblast Lung Mouse","1/156",0.0232189438528265,0.0296041534123537,0,0,64.0064516129032,240.842630483553,"FN1"
"Medullary Cell Kidney Mouse","1/166",0.0246949585446242,0.0307181191652642,0,0,60.0969696969697,222.428269812794,"FN1"
"Schwalie Et al.Nature.P1 Adipose Tissue Mouse","1/174",0.0258746992707548,0.0314192776859166,0,0,57.2947976878613,209.383245140563,"FN1"
"Schwalie Et al.Nature.G1 Adipose Tissue Mouse","1/189",0.0280841485296891,0.0333091063956778,0,0,52.6835106382979,188.214474407015,"FN1"
"Mesangial Cell Kidney Mouse","1/198",0.0294082132651383,0.0339958070241269,0,0,50.253807106599,177.219110054989,"FN1"
"Cycling Basal Cell Trachea Mouse","1/202",0.0299963003154061,0.0339958070241269,0,0,49.2437810945274,172.682242747347,"FN1"
"Endothelial Cell Fetal Gonad Human","1/207",0.03073107504585,0.0340714092899641,0,0,48.0364077669903,167.285873507036,"FN1"
"Epithelial Cell Lung Mouse","1/318",0.0469476726518126,0.0509432192604775,0,0,31.0410094637224,94.9458075398279,"CRLF1"
"Gonadal Endothelial Cell Fetal Gonad Human","1/466",0.0682870482826921,0.0725549888003603,0,0,21.0021505376344,56.3705104831646,"FN1"
"Astrocyte Brain Mouse","1/582",0.0847880387196114,0.0882487749938812,0,0,16.7091222030981,41.2314432984178,"FN1"
"Oogenesis Phase Fetal Germ Cell Fetal Gonad Human","1/855",0.122850988063862,0.125308007825139,0,0,11.2078454332553,23.5004213087871,"FN1"
"Mitotic Arrest Phase Fetal Germ Cell Fetal Gonad Human","1/956",0.136660855698114,0.136660855698114,0,0,9.9696335078534,19.8420922814675,"FN1"
